OBJECTID,DATE_REPORTED,KPI_GROUP1,OVERALL_TESTED_TST,TOTAL_RESIDENTS_TESTED_TST,TOTAL_POSITIVES_TST,NO_DEATH_TST,NO_RECOVERED_TST,KPI_GROUP2,TOTAL_ICU_BEDS_HOS,ICU_BEDS_AVAILABLE_HOS,TOTAL_VENTILATORS_HOS,VENTILATORS_IN_USE_HOS,VENTILATORS_AVAILABLE_HOS,TOTAL_COVID19_PATIS_DCHOS_HOS,TOTAL_COVID19_PATIENTS_ICU_HOS,TOTAL_COVID19_NON_DCHOS_HOS,KPI_GROUP3,TOTAL_POSITIVE_FEMS,TOTAL_POSITIVE_OUT_FEMS,PERSON_RETRND_TO_WORK_FEMS,PERSON_QUARANTINE_FEMS,OUT_POSITIVE_QUARANTINE_FEMS,RETURND_TO_WORK_FEMS,KPI_GROUP4,TOTAL_POSITIVE_PSMPD,TOTAL_POSITIVE_OUT_PSMPD,RECOVRD_RETURND_TO_WORK_PSMPD,PERSON_QUARANTINE_PSMPD,OUT_POSITIVE_QUARANTINE_PSMPD,RETURND_TO_WORK_PSMPD,LIVE_LOST_MPD,KPI_GROUP5,TOTAL_POSITIVE_PSDP,TOTAL_POSITIVE_OUT_PSDP,RECOVRD_RETURND_TO_WORK_PSDP,PERSON_QUARANTINE_PSDP,OUT_POSITIVE_QUARANTINE_PSDP,RETURND_TO_WORK_PSDP,LIVE_LOST_PERSONNEL_PSDP,KPI_GROUP6,TOTAL_POSITIVE_PSDR,TOTAL_POSITIVE_ISO_PSDR,RECOVRD_RES_PSDR,RES_QUARANTINE_PSDR,OUT_POSITIVE_QUARANTINE_PSDR,RETURND_TO_GP_PSDR,LIVE_LOST_RES_PSDR,KPI_GROUP7,TOTAL_POSITIVE_PSDYP,TOTAL_POSITIVE_OUT_PSDYP,RETURND_TO_WORK_PSDYP,PERSON_QUARANTINE_PSDYP,OUT_POSITIVE_QUARANTINE_PSDYP,RETURND_PER_TO_WORK_PSDYP,LIVE_LOST_PERSONNEL_PSDYP,KPI_GROUP8,TOTAL_POSITIVE_PSDYR,TOTAL_POSITIVE_OUT_PSDYR,RECOVRD_RES_PSDYR,RES_QUARANTINE_PSDYR,OUT_POSITIVE_QUARANTINE_PSDYR,NO_LONGER_ISO_QUAR_PSDYR,RETURND_TO_GP_PSDYR,KPI_GROUP9,TOTAL_POSITIVE_PSOUCP,TOTAL_POSITIVE_OUT_PSOUCP,RETURND_TO_WORK_PSOUCP,PERSON_QUARANTINE_PSOUCP,OUT_POSITIVE_QUARANTINE_PSOUCP,RETURND_PER_TO_WORK_PSOUCP,KPI_GROUP10,TOTAL_REMOTE_QTRN_SHELTER_DHS,TOTAL_REMOTE_QRTN_DHS,REMOTE_QUARN_SHELTER_DHS,LIVE_LOST_DHS,KPI_GROUP11,TOTAL_POSITIVE_SEHP,PERSON_QUARANTINE_SEHP,POSITIVE_OUT_QUARN_SEHP,RETURND_TO_WORK_SEHP,LIVE_LOST_SEHP,KPI_GROUP12,IIC_QRNT_ISLTD_POSITIVE_SEHI,IIC_QRNT_ISLTD_EXPO_SYM_SEHI,TOTAL_IIC_ISLD_QTRN_SEHI,TOTAL_RES_NOT_ISLTD_QRTN_SEHI,LIVE_LOST_SEHI,KPI_GROUP13,DDA_POSITIVE_HSDDS,DDA_RECOVERED_HSDDS,DDA_LIVE_LOST_HSDDS,KPI_GROUP14,TOTAL_POSITIVE_CFSA,PERSON_QUARANTINE_CFSA,RETURND_TO_WORK_CFSA,LIVE_LOST_CFSA,KPI_GROUP15,TOTAL_POSITIVE_DMVP,TOTAL_POSITIVE_OUT_DMVP,RECOVERED_RETURNED_WRK_DMVP,TOTAL_QUARN_DMVP,POSITIVE_OUT_QUARN_DMVP,RETURNED_TO_WORK_DMVP,LIVE_LOST_DMVP,KPI_GROUP16,TOTAL_POSITIVE_CONF_DCPSPWIP,TOTAL_RPRTD_PENDCONF_DCPSPWIP,TOTAL_CURR_QUARN_DCPSPWIP,KPI_GROUP17,TOTAL_POSITIVE_CONF_DCPSSPIPA,TOTAL_RPRTD_PENDCONF_DCPSSPIPA,TOTAL_CURR_QUARN_DCPSSPIPA
11,2020/03/17 00:00:00+00,Testing,170,,31,0,,Hospitals,,,,,,,,,Public Safety - FEMS,,,,,,,Public Safety - MPD,,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,,,,,Saint Elizabeths Hospital (SEH-Personnel) ,,,,,,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),,,,,,Human Services - DDS,,,,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
12,2020/03/18 00:00:00+00,Testing,203,,39,0,,Hospitals,,,,,,,,,Public Safety - FEMS,,,,,,,Public Safety - MPD,,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,,,,,Saint Elizabeths Hospital (SEH-Personnel) ,,,,,,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),,,,,,Human Services - DDS,,,,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
13,2020/03/19 00:00:00+00,Testing,573,,71,0,,Hospitals,,,,,,,,,Public Safety - FEMS,,,,,,,Public Safety - MPD,,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,,,,,Saint Elizabeths Hospital (SEH-Personnel) ,,,,,,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),,,,,,Human Services - DDS,,,,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
14,2020/03/20 00:00:00+00,Testing,814,,77,1,,Hospitals,,,,,,,,,Public Safety - FEMS,,,,,,,Public Safety - MPD,,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,,,,,Saint Elizabeths Hospital (SEH-Personnel) ,,,,,,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),,,,,,Human Services - DDS,,,,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
15,2020/03/21 00:00:00+00,Testing,1055,,98,1,,Hospitals,,,,,,,,,Public Safety - FEMS,,,,,,,Public Safety - MPD,,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,,,,,Saint Elizabeths Hospital (SEH-Personnel) ,,,,,,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),,,,,,Human Services - DDS,,,,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
16,2020/03/22 00:00:00+00,Testing,1229,,116,2,,Hospitals,,,,,,,,,Public Safety - FEMS,,,,,,,Public Safety - MPD,,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,,,,,Saint Elizabeths Hospital (SEH-Personnel) ,,,,,,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),,,,,,Human Services - DDS,,,,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
17,2020/03/23 00:00:00+00,Testing,1334,,137,2,17,Hospitals,,,,,,,,,Public Safety - FEMS,8,,,,,,Public Safety - MPD,2,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,,,,,Saint Elizabeths Hospital (SEH-Personnel) ,,,,,,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),,,,,,Human Services - DDS,,,,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
18,2020/03/24 00:00:00+00,Testing,1609,,183,2,17,Hospitals,,,,,,,,,Public Safety - FEMS,8,,,,,,Public Safety - MPD,2,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,,,,,Saint Elizabeths Hospital (SEH-Personnel) ,,,,,,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),,,,,,Human Services - DDS,,,,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
19,2020/03/25 00:00:00+00,Testing,1858,,231,3,21,Hospitals,,70,405,147,258,,,,Public Safety - FEMS,10,,,,,,Public Safety - MPD,2,,,,,,,Public Safety - DOC - Personnel,,,,,,,,Public Safety - DOC -Residents,0,,,,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,,,,,Saint Elizabeths Hospital (SEH-Personnel) ,,,,,,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),,,,,,Human Services - DDS,,,,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
20,2020/03/26 00:00:00+00,Testing,2166,,267,3,49,Hospitals,,55,405,93,312,,,,Public Safety - FEMS,12,,,91,103,132,Public Safety - MPD,3,,,136,139,103,,Public Safety - DOC - Personnel,1,,,16,17,0,,Public Safety - DOC -Residents,1,,,36,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,,,,,Saint Elizabeths Hospital (SEH-Personnel) ,,,,,,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),,,,,,Human Services - DDS,,,,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
21,2020/03/27 00:00:00+00,Testing,2516,,304,4,51,Hospitals,,106,426,186,240,,,,Public Safety - FEMS,12,,,108,120,119,Public Safety - MPD,3,,,154,157,112,,Public Safety - DOC - Personnel,1,,,71,72,0,,Public Safety - DOC -Residents,1,,,39,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,,,,,Saint Elizabeths Hospital (SEH-Personnel) ,,,,,,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),,,,,,Human Services - DDS,,,,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
22,2020/03/28 00:00:00+00,Testing,2812,,342,5,66,Hospitals,,91,426,187,239,,,,Public Safety - FEMS,13,,,155,147,155,Public Safety - MPD,4,,,154,158,112,,Public Safety - DOC - Personnel,1,,,71,72,0,,Public Safety - DOC -Residents,3,,,85,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,,,,,Saint Elizabeths Hospital (SEH-Personnel) ,,,,,,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),,,,,,Human Services - DDS,,,,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
23,2020/03/29 00:00:00+00,Testing,3085,,401,9,106,Hospitals,,87,426,193,233,,,,Public Safety - FEMS,14,,,177,191,149,Public Safety - MPD,5,,,156,161,116,,Public Safety - DOC - Personnel,1,,,71,72,0,,Public Safety - DOC -Residents,4,,,83,,,,Public Safety - DYRS - Personnel,,,,,,,,Public Safety - DYRS -Residents,,,,,,,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,,,,,Saint Elizabeths Hospital (SEH-Personnel) ,,,,,,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),,,,,,Human Services - DDS,,,,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
24,2020/03/30 00:00:00+00,Testing,3759,,495,9,121,Hospitals,,111,426,200,226,,,,Public Safety - FEMS,14,,,158,172,147,Public Safety - MPD,6,,,170,176,136,,Public Safety - DOC - Personnel,1,,,102,103,0,,Public Safety - DOC -Residents,5,,,83,,,,Public Safety - DYRS - Personnel,0,,,40,40,8,,Public Safety - DYRS -Residents,1,,,7,8,0,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,,,,,Saint Elizabeths Hospital (SEH-Personnel) ,,,,,,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),,,,,,Human Services - DDS,,,,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
25,2020/03/31 00:00:00+00,Testing,4398,,586,11,142,Hospitals,,95,422,185,237,,,,Public Safety - FEMS,19,,,173,192,152,Public Safety - MPD,13,,,167,180,153,,Public Safety - DOC - Personnel,1,,,112,113,0,,Public Safety - DOC -Residents,6,,,82,,,,Public Safety - DYRS - Personnel,1,,,54,55,8,,Public Safety - DYRS -Residents,1,,,54,55,8,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,5,48,35,,Saint Elizabeths Hospital (SEH-Personnel) ,5,22,27,0,,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),1,17,,,0,Human Services - DDS,,,,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
26,2020/04/01 00:00:00+00,Testing,5070,,653,12,173,Hospitals,,92,422,182,240,,,,Public Safety - FEMS,21,,,183,204,152,Public Safety - MPD,12,,,180,192,159,,Public Safety - DOC - Personnel,2,,,114,116,0,,Public Safety - DOC -Residents,6,,,80,,,,Public Safety - DYRS - Personnel,2,,,54,56,8,,Public Safety - DYRS -Residents,2,,,6,8,7,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,8,55,43,,Saint Elizabeths Hospital (SEH-Personnel) ,5,40,45,0,,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),1,18,,,1,Human Services - DDS,,,,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
27,2020/04/02 00:00:00+00,Testing,5584,,757,15,206,Hospitals,,116,433,223,210,,,,Public Safety - FEMS,23,,,145,168,158,Public Safety - MPD,15,,,195,210,175,,Public Safety - DOC - Personnel,3,,,132,135,1,,Public Safety - DOC -Residents,12,,,129,,,,Public Safety - DYRS - Personnel,2,,,51,53,8,,Public Safety - DYRS -Residents,2,,,7,9,7,,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,12,55,43,,Saint Elizabeths Hospital (SEH-Personnel) ,8,43,51,0,,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),3,81,,,1,Human Services - DDS,,,,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,
