Window_title,Title,Description1,Category1,Description2,Category2,Value,Value_unit,Value_1,Value_1_unit,Comparison,Timestamp,Chart_info
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/23/2020,Measures,Positive Tests,90,cases,55.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/24/2020,Measures,Positive Tests,97,cases,63,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/25/2020,Measures,Positive Tests,117,cases,72.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/26/2020,Measures,Positive Tests,133,cases,84.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/27/2020,Measures,Positive Tests,135,cases,94.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/28/2020,Measures,Positive Tests,114,cases,103.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/29/2020,Measures,Positive Tests,76,cases,108.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/30/2020,Measures,Positive Tests,173,cases,120.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/31/2020,Measures,Positive Tests,203,cases,135.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/01/2020,Measures,Positive Tests,212,cases,149.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/02/2020,Measures,Positive Tests,227,cases,162.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/03/2020,Measures,Positive Tests,336,cases,191.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/04/2020,Measures,Positive Tests,153,cases,197.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/05/2020,Measures,Positive Tests,205,cases,215.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/06/2020,Measures,Positive Tests,316,cases,236,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/07/2020,Measures,Positive Tests,312,cases,251.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/08/2020,Measures,Positive Tests,296,cases,263.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/09/2020,Measures,Positive Tests,362,cases,282.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/10/2020,Measures,Positive Tests,313,cases,279.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/11/2020,Measures,Positive Tests,203,cases,286.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/12/2020,Measures,Positive Tests,154,cases,279.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/13/2020,Measures,Positive Tests,324,cases,280.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/14/2020,Measures,Positive Tests,357,cases,287,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/15/2020,Measures,Positive Tests,329,cases,291.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/16/2020,Measures,Positive Tests,307,cases,283.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/17/2020,Measures,Positive Tests,432,cases,300.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/18/2020,Measures,Positive Tests,209,cases,301.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/19/2020,Measures,Positive Tests,184,cases,306,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/20/2020,Measures,Positive Tests,405,cases,317.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/21/2020,Measures,Positive Tests,350,cases,316.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/22/2020,Measures,Positive Tests,384,cases,324.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/23/2020,Measures,Positive Tests,350,cases,330.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/24/2020,Measures,Positive Tests,391,cases,324.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/25/2020,Measures,Positive Tests,191,cases,322.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/26/2020,Measures,Positive Tests,120,cases,313,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/27/2020,Measures,Positive Tests,245,cases,290.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/28/2020,Measures,Positive Tests,258,cases,277,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/29/2020,Measures,Positive Tests,282,cases,262.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,04/30/2020,Measures,Positive Tests,266,cases,250.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/01/2020,Measures,Positive Tests,239,cases,228.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/02/2020,Measures,Positive Tests,113,cases,217.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/03/2020,Measures,Positive Tests,132,cases,219.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/04/2020,Measures,Positive Tests,211,cases,214.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/05/2020,Measures,Positive Tests,209,cases,207.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/06/2020,Measures,Positive Tests,212,cases,197.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/07/2020,Measures,Positive Tests,188,cases,186.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/08/2020,Measures,Positive Tests,132,cases,171,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/09/2020,Measures,Positive Tests,79,cases,166.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/10/2020,Measures,Positive Tests,32,cases,151.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/11/2020,Measures,Positive Tests,117,cases,138.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/12/2020,Measures,Positive Tests,152,cases,130.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/13/2020,Measures,Positive Tests,134,cases,119.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/14/2020,Measures,Positive Tests,106,cases,107.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/15/2020,Measures,Positive Tests,118,cases,105.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/16/2020,Measures,Positive Tests,61,cases,102.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/17/2020,Measures,Positive Tests,40,cases,104,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/18/2020,Measures,Positive Tests,98,cases,101.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/19/2020,Measures,Positive Tests,100,cases,93.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/20/2020,Measures,Positive Tests,88,cases,87.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/21/2020,Measures,Positive Tests,81,cases,83.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/22/2020,Measures,Positive Tests,79,cases,78.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/23/2020,Measures,Positive Tests,45,cases,75.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/24/2020,Measures,Positive Tests,20,cases,73,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/25/2020,Measures,Positive Tests,24,cases,62.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/26/2020,Measures,Positive Tests,76,cases,59,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/27/2020,Measures,Positive Tests,49,cases,53.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/28/2020,Measures,Positive Tests,59,cases,50.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/29/2020,Measures,Positive Tests,41,cases,44.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/30/2020,Measures,Positive Tests,30,cases,42.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,05/31/2020,Measures,Positive Tests,13,cases,41.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/01/2020,Measures,Positive Tests,46,cases,44.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/02/2020,Measures,Positive Tests,49,cases,41,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/03/2020,Measures,Positive Tests,26,cases,37.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/04/2020,Measures,Positive Tests,54,cases,37,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/05/2020,Measures,Positive Tests,24,cases,34.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/06/2020,Measures,Positive Tests,30,cases,34.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/07/2020,Measures,Positive Tests,12,cases,34.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/08/2020,Measures,Positive Tests,37,cases,33.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/09/2020,Measures,Positive Tests,36,cases,31.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/10/2020,Measures,Positive Tests,23,cases,30.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/11/2020,Measures,Positive Tests,27,cases,27,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/12/2020,Measures,Positive Tests,23,cases,26.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/13/2020,Measures,Positive Tests,13,cases,24.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/14/2020,Measures,Positive Tests,2.5,cases,23.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/15/2020,Measures,Positive Tests,23,cases,21.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/16/2020,Measures,Positive Tests,24,cases,19.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/17/2020,Measures,Positive Tests,32,cases,20.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/18/2020,Measures,Positive Tests,20,cases,19.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/19/2020,Measures,Positive Tests,18,cases,18.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/20/2020,Measures,Positive Tests,12,cases,18.8,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/21/2020,Measures,Positive Tests,2.5,cases,18.8,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/22/2020,Measures,Positive Tests,29,cases,19.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/23/2020,Measures,Positive Tests,25,cases,19.8,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/24/2020,Measures,Positive Tests,19,cases,17.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/25/2020,Measures,Positive Tests,27,cases,18.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/26/2020,Measures,Positive Tests,24,cases,19.8,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/27/2020,Measures,Positive Tests,15,cases,20.2,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/28/2020,Measures,Positive Tests,2.5,cases,20.2,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/29/2020,Measures,Positive Tests,21,cases,19.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,06/30/2020,Measures,Positive Tests,28,cases,19.5,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/01/2020,Measures,Positive Tests,33,cases,21.5,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/02/2020,Measures,Positive Tests,41,cases,23.5,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/03/2020,Measures,Positive Tests,9,cases,21.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/04/2020,Measures,Positive Tests,8,cases,20.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/05/2020,Measures,Positive Tests,16,cases,22.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/06/2020,Measures,Positive Tests,39,cases,24.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/07/2020,Measures,Positive Tests,39,cases,26.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/08/2020,Measures,Positive Tests,28,cases,25.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/09/2020,Measures,Positive Tests,28,cases,23.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/10/2020,Measures,Positive Tests,42,cases,28.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/11/2020,Measures,Positive Tests,10,cases,28.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/12/2020,Measures,Positive Tests,11,cases,28.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/13/2020,Measures,Positive Tests,45,cases,29,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/14/2020,Measures,Positive Tests,25,cases,27,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/15/2020,Measures,Positive Tests,40,cases,28.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/16/2020,Measures,Positive Tests,35,cases,29.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/17/2020,Measures,Positive Tests,34,cases,28.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/18/2020,Measures,Positive Tests,19,cases,29.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/19/2020,Measures,Positive Tests,8,cases,29.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/20/2020,Measures,Positive Tests,30,cases,27.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/21/2020,Measures,Positive Tests,32,cases,28.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/22/2020,Measures,Positive Tests,33,cases,27.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/23/2020,Measures,Positive Tests,29,cases,26.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/24/2020,Measures,Positive Tests,22,cases,24.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/25/2020,Measures,Positive Tests,23,cases,25.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/26/2020,Measures,Positive Tests,10,cases,25.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/27/2020,Measures,Positive Tests,45,cases,27.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/28/2020,Measures,Positive Tests,58,cases,31.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/29/2020,Measures,Positive Tests,55,cases,34.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/30/2020,Measures,Positive Tests,46,cases,37,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,07/31/2020,Measures,Positive Tests,45,cases,40.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/01/2020,Measures,Positive Tests,27,cases,40.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/02/2020,Measures,Positive Tests,12,cases,41.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/03/2020,Measures,Positive Tests,50,cases,41.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/04/2020,Measures,Positive Tests,38,cases,39,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/05/2020,Measures,Positive Tests,56,cases,39.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/06/2020,Measures,Positive Tests,67,cases,42.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/07/2020,Measures,Positive Tests,54,cases,43.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/08/2020,Measures,Positive Tests,28,cases,43.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/09/2020,Measures,Positive Tests,13,cases,43.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/10/2020,Measures,Positive Tests,69,cases,46.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/11/2020,Measures,Positive Tests,58,cases,49.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/12/2020,Measures,Positive Tests,61,cases,50,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/13/2020,Measures,Positive Tests,74,cases,51,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/14/2020,Measures,Positive Tests,57,cases,51.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/15/2020,Measures,Positive Tests,25,cases,51,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/16/2020,Measures,Positive Tests,17,cases,51.6,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/17/2020,Measures,Positive Tests,81,cases,53.3,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/18/2020,Measures,Positive Tests,73,cases,55.4,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/19/2020,Measures,Positive Tests,64,cases,55.9,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/20/2020,Measures,Positive Tests,59,cases,53.7,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/21/2020,Measures,Positive Tests,39,cases,51.1,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/22/2020,Measures,Positive Tests,24,cases,51,cases (7-day moving avg),,04/29/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,08/23/2020,Measures,Positive Tests,14,cases,50.6,cases (7-day moving avg),,04/29/2022,""
